RSSI A,RSSI B,RSSI C,x,y
-75,-93,-87,0.5,0.5
-70,-88,-85,0.5,1
-83,-81,-85,0.5,1.5
-86,-84,-87,0.5,2
-79,-81,-82,0.5,2.5
-80,-76,-93,0.5,3
-83,-68,-93,0.5,3.5
-83,-84,-83,1,0.5
-76,-87,-85,1,1
-80,-88,-76,1,1.5
-82,-77,-80,1,2
-86,-79,-85,1,2.5
-82,-85,-86,1,3
-72,-82,-93,1,3.5
-81,-83,-81,1.5,0.5
-82,-84,-84,1.5,1
-83,-88,-88,1.5,1.5
-87,-78,-86,1.5,2
-89,-82,-82,1.5,2.5
-91,-81,-86,1.5,3
-91,-76,-84,1.5,3.5
-78,-86,-81,2,0.5
-91,-85,-80,2,1
-80,-75,-80,2,1.5
-84,-85,-84,2,2
-81,-82,-84,2,2.5
-79,-83,-87,2,3
-84,-75,-93,2,3.5
-87,-84,-77,2.5,0.5
-84,-88,-85,2.5,1
-85,-83,-83,2.5,1.5
-82,-82,-85,2.5,2
-86,-77,-83,2.5,2.5
-87,-84,-86,2.5,3
-95,-77,-94,2.5,3.5
-82,-83,-74,3,0.5
-94,-84,-76,3,1
-91,-92,-84,3,1.5
-83,-84,-80,3,2
-90,-78,-79,3,2.5
-95,-88,-87,3,3
-90,-74,-82,3,3.5
-89,-85,-75,3.5,0.5
-83,-95,-77,3.5,1
-85,-82,-81,3.5,1.5
-83,-78,-82,3.5,2
-83,-83,-81,3.5,2.5
-87,-87,-88,3.5,3
-84,-82,-80,3.5,3.5
-72,-85,-87,1,0
-79,-88,-76,0,3
-94,-77,-87,3.25,1.25
-75,-86,-84,0.75,1.25
-83,-88,-81,2.5,2
-85,-80,-83,1.5,2.5
-94,-87,-83,2.25,3.5
-92,-88,-81,0.5,3.25
-88,-79,-82,3.5,2.25
-61,-92,-88,0.25,0.25
