RSSI A,RSSI B,RSSI C,x,y
-44,-56,-44,0.5,0.5
-43,-52,-56,0.5,1
-51,-51,-55,0.5,1.5
-48,-51,-59,0.5,2
-55,-59,-60,0.5,2.5
-49,-40,-58,0.5,3
-57,-50,-64,0.5,3.5
-43,-49,-51,1,0.5
-48,-56,-51,1,1
-52,-48,-61,1,1.5
-50,-54,-57,1,2
-48,-51,-49,1,2.5
-46,-49,-56,1,3
-53,-43,-54,1,3.5
-44,-56,-48,1.5,0.5
-58,-44,-45,1.5,1
-54,-51,-50,1.5,1.5
-54,-46,-54,1.5,2
-53,-53,-49,1.5,2.5
-56,-42,-47,1.5,3
-60,-42,-47,1.5,3.5
-53,-47,-56,2,0.5
-55,-49,-59,2,1
-49,-43,-57,2,1.5
-48,-58,-53,2,2
-52,-59,-61,2,2.5
-54,-56,-56,2,3
-53,-47,-53,2,3.5
-48,-56,-47,2.5,0.5
-57,-50,-46,2.5,1
-58,-45,-43,2.5,1.5
-57,-53,-47,2.5,2
-50,-48,-52,2.5,2.5
-58,-49,-50,2.5,3
-50,-50,-57,2.5,3.5
-54,-50,-49,3,0.5
-58,-52,-43,3,1
-54,-51,-39,3,1.5
-49,-44,-60,3,2
-53,-48,-58,3,2.5
-56,-55,-60,3,3
-56,-53,-50,3,3.5
-66,-58,-37,3.5,0.5
-50,-51,-41,3.5,1
-58,-49,-44,3.5,1.5
-55,-55,-49,3.5,2
-55,-50,-49,3.5,2.5
-51,-55,-46,3.5,3
-63,-50,-54,3.5,3.5
-34,-56,-57,1,0
-53,-55,-49,0,3
-56,-40,-59,3.25,1.25
-55,-61,-51,0.75,1.25
-53,-54,-53,2.5,2
-57,-51,-41,1.5,2.5
-59,-52,-53,2.25,3.5
-53,-53,-47,0.5,3.25
-54,-58,-55,3.5,2.25
-47,-57,-55,0.25,0.25
