RSSI A,RSSI B,RSSI C,x,y
-53,-57,-62,-0.61,0.78
-54,-55,-58,-0.61,1.63
-57,-59,-61,-0.61,2.56
-57,-69,-52,-0.61,3.42
-49,-64,-61,0.65,0.78
-60,-55,-69,0.65,1.63
-65,-57,-52,0.65,2.56
-61,-72,-47,0.65,3.42
-54,-58,-54,1.97,0.78
-62,-60,-63,1.97,1.63
-58,-60,-55,1.97,2.56
-55,-66,-52,1.97,3.42
-57,-50,-74,3.27,0.78
-59,-57,-60,3.27,1.63
-63,-67,-56,3.27,2.56
-59,-57,-55,3.27,3.42
-53,-52,-62,1.635,0
-64,-52,-61,3.27,1.595
-54,-62,-56,1.635,2.99
-58,-66,-58,-0.61,1.595
-70,-63,-54,3.22,2.99
-48,-63,-63,0.02,1.205
